tool		VeriAbs 1.5.1-2	VeriAbs 1.5.1-2	VeriAbs 1.5.1-2	VeriAbs 1.5.1-2
run set		SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP	SV-COMP24_unreach-call.Suite1-SVCOMP
../suite1-svcomp/		status	cputime (s)	walltime (s)	memory (MB)
loop-acceleration/const_1-1.yml	true	true	6.961265	2.6383210139902076	249.417728
loop-acceleration/const_1-2.yml	false	TIMEOUT	226.030903	201.0123629689915	4154.249216
loop-acceleration/const_1-2_abstracted.yml	false	false(unreach-call)	6.910763	2.507068763006828	201.740288
loop-acceleration/diamond_1-1.yml	true	true	9.442244	3.5783723429922247	217.673728
loop-acceleration/diamond_1-2.yml	false	false(unreach-call)	29.32339	18.576598423998803	430.731264
loop-acceleration/diamond_2-2.yml	true	true	13.314289	6.764745523993042	223.469568
loop-acceleration/functions_1-1.yml	true	true	7.275099	2.744291113995132	228.388864
loop-acceleration/functions_1-2.yml	false	unknown	19.935916	11.725483118003467	497.283072
loop-acceleration/multivar_1-1.yml	true	true	7.207699	2.7491010329977144	250.658816
loop-acceleration/multivar_1-2.yml	false	false(unreach-call)	9.150783	3.4056793140043737	247.631872
loop-acceleration/nested_1-1.yml	true	true	6.914795	2.560490509000374	213.438464
loop-acceleration/nested_1-2.yml	false	false(unreach-call)	7.171686	2.7084069769916823	214.208512
loop-acceleration/overflow_1-1.yml	true	true	7.479185	2.8265882129926467	219.607040
loop-acceleration/phases_1-1.yml	true	true	114.040705	155.71655012198607	7239.499776
loop-acceleration/phases_1-2.yml	false	TIMEOUT	177.463269	201.12463096099964	7684.214784
loop-acceleration/phases_2-1.yml	false	false(unreach-call)	6.837266	2.62210909499845	247.160832
loop-acceleration/simple_1-1.yml	false	TIMEOUT	224.922097	201.0131755090115	3503.083520
loop-acceleration/simple_1-1_abstracted.yml	false	false(unreach-call)	6.71898	2.4547618530050386	197.509120
loop-acceleration/simple_1-2.yml	true	true	7.143171	2.7451173519948497	242.036736
loop-acceleration/simple_1-2_abstracted.yml	true	true	6.768651	2.4978853599895956	203.919360
loop-acceleration/simple_2-1.yml	true	true	6.694854	2.472831444989424	203.747328
loop-acceleration/simple_2-1_abstracted.yml	true	true	6.998807	2.5677992350101704	211.628032
loop-acceleration/simple_2-2.yml	false	false(unreach-call)	9.231886	3.443129904990201	241.487872
loop-acceleration/simple_3-1.yml	false	false(unreach-call)	161.647209	154.4357143320085	1060.433920
loop-acceleration/simple_3-2.yml	true	true	7.095808	2.696279386000242	253.902848
loop-acceleration/simple_4-1.yml	false	TIMEOUT	223.473839	201.01657147200604	3427.717120
loop-acceleration/simple_4-1_abstracted.yml	false	false(unreach-call)	6.870148	2.4978930200013565	200.585216
loop-acceleration/simple_4-2.yml	true	true	6.905754	2.5714285870053573	212.340736
loop-acceleration/simple_4-2_abstracted.yml	true	true	7.410228	2.682178934002877	227.237888
loop-acceleration/underapprox_1-1.yml	false	false(unreach-call)	11.925885	4.388085961996694	216.535040
loop-acceleration/underapprox_1-2.yml	true	true	9.214163	3.508849175006617	215.601152
loop-acceleration/underapprox_2-1.yml	false	false(unreach-call)	7.094858	2.653673886990873	203.182080
loop-acceleration/underapprox_2-2.yml	true	true	6.977069	2.6203189280058723	207.007744
loop-crafted/simple_vardep_1.yml	true	true	7.35139	2.745562648997293	228.012032
loop-crafted/simple_vardep_2.yml	true	true	7.374616	2.7542309860000387	220.258304
loop-industry-pattern/mod3.c.v+cfa-reducer.yml	true	true	8.966744	3.432808320998447	273.690624
loop-industry-pattern/mod3.c.v+lhb-reducer.yml	true	TIMEOUT	221.271171	201.0078174060036	1877.749760
loop-industry-pattern/mod3.c.v+sep-reducer.yml	true	TIMEOUT	220.282672	201.0159733729961	1955.250176
loop-industry-pattern/mod3.yml	true	true	7.922793	3.1017286970018176	224.530432
loop-invariants/const.yml	true	true	6.992088	2.5358831100020325	202.133504
loop-invariants/eq1.yml	true	true	7.341399	2.790824146999512	212.938752
loop-invariants/eq2.yml	true	true	7.070304	2.6980293539963895	217.669632
loop-invariants/even.yml	true	true	6.899362	2.6045059570024023	210.038784
loop-invariants/linear-inequality-inv-a.yml	true	true	11.478263	5.510027493000962	226.377728
loop-invariants/linear-inequality-inv-b.yml	false	false(unreach-call)	11.249966	4.198546452011215	220.323840
loop-invariants/mod4.yml	true	true	6.969617	2.6132373419968644	215.945216
loop-invariants/odd.yml	true	true	6.919584	2.650678613994387	211.501056
loop-invgen/MADWiFi-encode_ie_ok.yml	true	true	7.498734	2.8183681719965534	213.520384
loop-invgen/NetBSD_loop.yml	true	true	7.277528	2.7046813769993605	206.360576
loop-invgen/SpamAssassin-loop.i.v+cfa-reducer.yml	true	TIMEOUT	423.899926	201.00982914499764	2060.840960
loop-invgen/SpamAssassin-loop.yml	true	true	7.654035	2.838001598996925	211.521536
loop-invgen/apache-escape-absolute.i.v+cfa-reducer.yml	true	TIMEOUT	421.528675	201.01337067200802	2655.657984
loop-invgen/apache-escape-absolute.yml	true	TIMEOUT	211.538241	201.01608185000077	797.220864
loop-invgen/apache-get-tag.i.p+lhb-reducer.yml	true	true	13.226331	3.845243889998528	426.987520
loop-invgen/apache-get-tag.i.p+nlh-reducer.yml	true	true	35.064358	9.291510783994454	1551.794176
loop-invgen/apache-get-tag.i.p+sep-reducer.yml	true	true	30.989315	8.7891872110049	1605.230592
loop-invgen/apache-get-tag.i.v+lhb-reducer.yml	true	true	11.969041	3.5403959980030777	398.192640
loop-invgen/apache-get-tag.i.v+nlh-reducer.yml	true	true	11.69645	3.469774334997055	377.741312
loop-invgen/apache-get-tag.yml	true	TIMEOUT	211.788889	201.00918882299447	1075.314688
loop-invgen/down.yml	true	true	7.26664	2.7580622249952285	243.601408
loop-invgen/fragtest_simple.yml	true	true	9.996038	3.624630734004313	225.509376
loop-invgen/half_2.yml	true	true	7.686751	2.956930882006418	265.637888
loop-invgen/heapsort.yml	true	true	14.005257	5.639407171998755	206.262272
loop-invgen/id_build.i.p+nlh-reducer.yml	true	TIMEOUT	420.772831	201.01426635900862	2696.617984
loop-invgen/id_build.i.p+sep-reducer.yml	true	TIMEOUT	420.517881	201.01902238900948	2792.189952
loop-invgen/id_build.i.v+lhb-reducer.yml	true	TIMEOUT	417.901599	201.01957078000123	2495.922176
loop-invgen/id_build.yml	true	true	7.355589	2.747534291993361	210.042880
loop-invgen/id_trans.yml	false	TIMEOUT	210.642738	201.01414919600938	804.352000
loop-invgen/large_const.yml	true	true	10.331992	3.702521200000774	209.448960
loop-invgen/nest-if3.yml	true	true	7.580548	2.916882721998263	209.428480
loop-invgen/nested6.yml	true	TIMEOUT	207.289718	201.01743516200804	2024.693760
loop-invgen/nested9.yml	true	true	7.531801	2.8678329760005	206.929920
loop-invgen/sendmail-close-angle.yml	true	unknown	189.620749	179.03737171900866	819.445760
loop-invgen/seq-3.yml	true	true	7.563357	2.9895718970074086	295.956480
loop-invgen/string_concat-noarr.yml	true	true	7.283735	2.790274637998664	211.042304
loop-invgen/up.yml	true	true	7.059598	2.6898531729966635	245.178368
loop-lit/afnp2014.yml	true	true	6.866956	2.563472736001131	207.372288
loop-lit/as2013-hybrid.yml	true	unknown	78.640315	69.49369350699999	2012.262400
loop-lit/bh2017-ex-add.yml	true	true	9.41026	3.4576546040043468	207.896576
loop-lit/bh2017-ex1-poly.yml	true	true	9.424699	3.486298599993461	212.221952
loop-lit/bh2017-ex3.yml	true	true	9.269941	3.377088292996632	213.151744
loop-lit/bhmr2007.yml	true	true	8.04871	3.440628659009235	206.331904
loop-lit/cggmp2005.yml	true	true	7.141726	2.69266445300309	256.782336
loop-lit/cggmp2005_variant.yml	true	true	7.292207	2.7110737650073133	234.221568
loop-lit/cggmp2005b.yml	true	true	7.3808	2.774152250000043	250.773504
loop-lit/css2003.yml	true	true	7.084181	2.629775460009114	210.620416
loop-lit/ddlm2013.yml	true	TIMEOUT	213.412655	201.02003826999862	1468.379136
loop-lit/gcnr2008.yml	false	false(unreach-call)	10.996049	4.15197254200757	219.971584
loop-lit/gj2007.c.i.p+lhb-reducer.yml	true	true	13.829284	5.195533775011427	720.179200
loop-lit/gj2007.c.i.p+nlh-reducer.yml	true	true	14.930719	5.166804891996435	259.674112
loop-lit/gj2007.yml	true	true	9.768267	3.854065363004338	298.663936
loop-lit/gj2007b.yml	true	true	9.556674	3.5429320750117768	232.792064
loop-lit/gr2006.yml	true	true	16.463074	6.598413903993787	883.326976
loop-lit/gsv2008.c.i.p+cfa-reducer.yml	true	true	231.032265	108.96238914399873	1837.477888
loop-lit/gsv2008.c.i.v+cfa-reducer.yml	true	true	217.728848	102.46481419399788	1961.824256
loop-lit/gsv2008.c.i.v+lhb-reducer.yml	true	TIMEOUT	417.059373	201.01605439500418	2558.644224
loop-lit/gsv2008.yml	true	true	135.903382	124.3113702339906	1029.246976
loop-lit/hh2012-ex1b.yml	true	true	7.115843	2.6468943869986106	208.015360
loop-lit/hh2012-ex2b.yml	true	true	9.491372	3.5454689010075526	223.113216
loop-lit/hh2012-ex3.yml	true	true	9.914868	3.658247384009883	207.904768
loop-lit/hhk2008.yml	true	true	7.439505	2.8299997249996522	239.689728
loop-lit/jm2006.c.i.v+cfa-reducer.yml	true	TIMEOUT	419.474432	201.01888092100853	7156.842496
loop-lit/jm2006.yml	true	true	7.214997	2.9445230910059763	334.229504
loop-lit/jm2006_variant.yml	true	true	7.274396	2.674980951996986	247.353344
loop-lit/mine2017-ex4.10.yml	true	true	6.738613	2.4966185340017546	203.939840
loop-lit/mine2017-ex4.6.yml	true	true	9.411218	3.465491591996397	213.360640
loop-lit/mine2017-ex4.7.yml	true	true	9.679505	3.589326717003132	230.203392
loop-lit/mine2017-ex4.8.yml	true	true	7.177455	2.7016758330137236	210.956288
loop-new/count_by_1.yml	true	true	6.916898	2.5608309779927367	201.273344
loop-new/count_by_1_variant.yml	true	true	9.660828	3.555718371004332	219.922432
loop-new/count_by_2.yml	true	true	7.320935	2.722476031005499	219.742208
loop-new/count_by_k.yml	true	true	7.489977	2.812659874005476	212.561920
loop-new/count_by_nondet.yml	true	TIMEOUT	213.01756	201.0175620509981	973.467648
loop-new/half.yml	true	TIMEOUT	214.000112	201.01394957100274	1038.745600
loop-new/nested-1.yml	true	TIMEOUT	210.68601	201.0181856410054	1012.510720
loops/count_up_down-1.yml	true	true	7.132224	2.676641151003423	241.065984
loops/count_up_down-2.yml	false	false(unreach-call)	9.216255	3.539372513012495	237.637632
loops/for_bounded_loop1.yml	false	false(unreach-call)	11.924468	4.461560376992566	212.504576
loops/for_infinite_loop_1.yml	true	true	6.798057	2.502229948004242	207.208448
loops/for_infinite_loop_2.yml	true	true	7.03505	2.587279455998214	205.062144
loops/sum01-2.yml	true	true	7.337734	2.764859899005387	242.683904
loops/sum01_bug02.yml	false	false(unreach-call)	11.301133	4.520792534007342	343.351296
loops/sum03-1.yml	false	false(unreach-call)	10.5461	3.922541946012643	221.171712
loops/sum03-2.yml	true	true	7.176158	2.653025114996126	206.626816
loops/sum04-1.yml	false	false(unreach-call)	10.922877	4.213664786002482	299.544576
loops/sum04-2.yml	true	true	7.534858	2.8106883669970557	250.228736
loops/terminator_02-2.yml	true	true	7.481681	2.803228147007758	215.842816
loops/terminator_02-2_abstracted.yml	true	true	7.186244	2.664922412004671	213.446656
loops/terminator_03-2.yml	true	true	6.969147	2.6012948920106282	205.910016
loops/terminator_03-2_abstracted.yml	true	true	7.477257	2.731130216998281	213.295104
loops/trex01-1.yml	false	false(unreach-call)	12.452853	4.686021424000501	227.368960
loops/trex01-2.yml	true	true	7.316927	2.6067396360012935	200.986624
loops/trex02-1.yml	true	true	7.054783	2.5822407490049955	198.524928
loops/trex02-2.yml	false	false(unreach-call)	14.00793	5.327791248986614	217.391104
loops/trex03-1.yml	false	false(unreach-call)	14.087794	5.212942112004384	219.373568
loops/trex03-2.yml	true	true	7.559485	2.8623328959947685	223.260672
loops/trex03-2_abstracted.yml	true	true	7.756136	2.9038236040069023	209.252352
loops/trex04.yml	true	true	7.341693	2.6447863610083004	207.872000
loops/trex04_abstracted.yml	true	true	7.501479	2.7619135470013134	214.564864
loops/while_infinite_loop_1.yml	true	true	6.866055	2.539804529005778	204.156928
loops/while_infinite_loop_2.yml	true	true	6.79123	2.514802398000029	203.726848
loops/while_infinite_loop_3.yml	true	true	6.872975	2.5323648909979966	203.681792
loops/while_infinite_loop_4.yml	false	false(unreach-call)	6.990531	2.5587569600029383	203.694080
loops-crafted-1/Mono1_1-1.yml	false	OUT OF MEMORY	63.839633	57.67094532800547	7229.882368
loops-crafted-1/Mono1_1-2.yml	true	OUT OF MEMORY	62.365671	56.64446961400972	7233.716224
loops-crafted-1/Mono3_1.yml	false	TIMEOUT	174.042016	201.1068455019995	7052.161024
loops-crafted-1/Mono4_1.yml	false	TIMEOUT	213.393361	201.01753951799765	9529.827328
loops-crafted-1/Mono5_1.yml	false	OUT OF MEMORY	100.982663	97.6983768959908	10586.832896
loops-crafted-1/Mono6_1.yml	false	OUT OF MEMORY	129.841924	137.02609458199004	10585.808896
loops-crafted-1/iftelse.yml	true	true	10.209673	4.133137222001096	340.762624
loops-crafted-1/in-de20.yml	true	true	7.26097	2.709084079004242	208.101376
loops-crafted-1/in-de31.yml	true	true	7.170288	2.699081365004531	208.445440
loops-crafted-1/in-de32.yml	true	true	7.223519	2.6977870559931034	216.936448
loops-crafted-1/in-de41.yml	true	true	7.380872	2.720076951998635	219.328512
loops-crafted-1/in-de42.yml	true	true	7.245598	2.7110204990021884	213.295104
loops-crafted-1/in-de51.yml	true	true	7.277916	2.7004706879961304	215.429120
loops-crafted-1/in-de52.yml	true	true	7.199422	2.6955617339990567	217.317376
loops-crafted-1/in-de61.yml	true	true	7.225854	2.675571106010466	212.193280
loops-crafted-1/in-de62.yml	true	true	7.303106	2.7312467209994793	213.622784
loops-crafted-1/loopv1.yml	true	true	14.412832	9.936040569009492	212.566016
loops-crafted-1/loopv2.yml	true	true	7.005798	2.625878349004779	216.727552
loops-crafted-1/loopv3.yml	true	true	7.053281	2.588739753002301	215.441408
loops-crafted-1/mono-crafted_1.yml	true	true	10.308914	4.096303099999204	345.960448
loops-crafted-1/mono-crafted_10.yml	true	true	113.33534	156.0465236930031	10568.052736
loops-crafted-1/mono-crafted_11.yml	true	true	124.078814	156.1582056210027	10570.231808
loops-crafted-1/mono-crafted_12.yml	true	true	8.263744	3.422404829005245	411.750400
loops-crafted-1/mono-crafted_13.yml	true	true	11.131382	4.367550463997759	348.639232
loops-crafted-1/mono-crafted_14.yml	true	true	11.126191	4.4293634639907395	350.146560
loops-crafted-1/mono-crafted_3.yml	true	true	11.1514	4.374286077989382	341.434368
loops-crafted-1/mono-crafted_6.yml	true	true	42.023435	35.249869118997594	4108.120064
loops-crafted-1/mono-crafted_7.yml	true	true	9.983173	3.924807891002274	342.249472
loops-crafted-1/mono-crafted_8.yml	true	true	124.092299	155.50157726999896	10589.396992
loops-crafted-1/mono-crafted_9.yml	true	true	46.242721	39.87787518599362	4778.999808
loops-crafted-1/nested3-1.yml	true	true	6.718162	2.4565590059937676	206.626816
loops-crafted-1/nested3-1_abstracted.yml	true	true	7.134159	2.5893046090059215	209.432576
loops-crafted-1/nested3-2.yml	false	false(unreach-call)	6.621933	2.429559890006203	204.353536
loops-crafted-1/nested3-2_abstracted.yml	false	false(unreach-call)	6.898812	2.4866416470031254	209.551360
loops-crafted-1/nested5-1.yml	true	true	6.725231	2.4814332999958424	202.911744
loops-crafted-1/nested5-2.yml	false	false(unreach-call)	7.748656	2.786870933996397	210.735104
loops-crafted-1/nested_delay_nd.yml	true	true	11.877874	4.551808824006002	348.254208
loops-crafted-1/nested_delay_notd2.yml	false	TIMEOUT	222.427032	201.01388749400212	1633.181696
loops-crafted-1/net_reset.yml	true	true	12.278282	4.731534482998541	226.349056
loops-crafted-1/sum_by_3.yml	true	true	7.120894	2.7649765140085947	311.181312
loops-crafted-1/sum_by_3_abstracted.yml	true	true	7.131151	2.7087959479977144	272.773120
loops-crafted-1/sumt2.yml	true	true	7.062363	2.6120987019967288	209.879040
loops-crafted-1/sumt3.yml	true	true	7.213869	2.9079108079895377	208.412672
loops-crafted-1/sumt4.yml	true	true	10.003066	5.704588934007916	216.526848
loops-crafted-1/sumt5.yml	true	true	21.314204	16.850797311999486	208.924672
loops-crafted-1/sumt6.yml	true	true	25.530275	21.005962569004623	216.379392
loops-crafted-1/sumt7.yml	true	true	17.613135	13.04592080200382	209.817600
loops-crafted-1/sumt8.yml	true	true	144.877037	138.7468033470068	217.391104
loops-crafted-1/sumt9.yml	true	true	166.656698	160.477083966005	210.919424
loops-crafted-1/theatreSquare.yml	true	true	15.730395	11.101907774995198	208.027648
loops-crafted-1/vnew1.yml	true	true	7.185334	2.71786120699835	248.446976
loops-crafted-1/vnew2.yml	true	true	7.085818	2.7094546610023826	251.064320
loops-crafted-1/watermelon.yml	true	true	7.20587	2.637688592003542	213.188608
loop-simple/deep-nested.yml	false	TIMEOUT	211.25802	201.0184042530018	8646.209536
loop-simple/nested_1.yml	true	true	6.595045	2.417153093003435	220.545024
loop-simple/nested_1b.yml	false	false(unreach-call)	9.018607	3.326299779000692	244.396032
loop-simple/nested_2.yml	true	true	6.72687	2.4980957969964948	208.044032
loop-simple/nested_3.yml	true	true	7.021957	2.6362396059994353	241.610752
loop-simple/nested_4.yml	true	true	7.190919	2.6757119709945982	244.588544
loop-simple/nested_5.yml	true	true	7.157469	2.6895821499929298	239.976448
loop-simple/nested_6.yml	true	true	7.131098	2.7084309729980305	241.856512
loop-zilu/benchmark02_linear.yml	true	true	6.500947	2.4178977310075425	213.381120
loop-zilu/benchmark02_linear_abstracted.yml	true	true	6.583732	2.4305529199918965	197.316608
loop-zilu/benchmark04_conjunctive.yml	true	true	6.961475	2.619528116003494	239.521792
loop-zilu/benchmark05_conjunctive.yml	true	TIMEOUT	208.406473	201.01557156498893	2925.953024
loop-zilu/benchmark09_conjunctive.yml	true	true	6.896597	2.5872314219886903	213.557248
loop-zilu/benchmark10_conjunctive.yml	true	true	6.893664	2.5727440570044564	206.454784
loop-zilu/benchmark11_linear.yml	true	true	6.813415	2.581207621988142	240.279552
loop-zilu/benchmark11_linear_abstracted.yml	true	true	6.850888	2.5417182449891698	208.019456
loop-zilu/benchmark14_linear.yml	true	true	6.441688	2.421370433003176	203.063296
loop-zilu/benchmark17_conjunctive.yml	true	true	7.075468	2.689045532999444	246.087680
loop-zilu/benchmark18_conjunctive.yml	true	true	6.708481	2.5558217719953973	241.295360
loop-zilu/benchmark19_conjunctive.yml	true	true	6.854066	2.5822961650119396	208.617472
loop-zilu/benchmark20_conjunctive.yml	true	true	6.763452	2.544700191996526	211.451904
loop-zilu/benchmark23_conjunctive.yml	true	true	6.862795	2.61535456799902	243.638272
loop-zilu/benchmark25_linear.yml	true	true	6.656696	2.4233755669993116	202.199040
loop-zilu/benchmark25_linear_abstracted.yml	true	true	6.672102	2.519663725994178	212.209664
loop-zilu/benchmark26_linear.yml	true	true	6.952449	2.607003319004434	239.476736
loop-zilu/benchmark26_linear_abstracted.yml	true	true	6.796489	2.547621411998989	216.547328
loop-zilu/benchmark32_linear.yml	true	true	6.64379	2.434731533008744	201.490432
loop-zilu/benchmark33_linear.yml	true	true	6.621126	2.481412758002989	200.781824
loop-zilu/benchmark34_conjunctive.yml	true	true	6.862622	2.584338700005901	216.756224
loop-zilu/benchmark35_linear.yml	true	true	6.588356	2.3980505209910916	206.397440
loop-zilu/benchmark37_conjunctive.yml	true	true	6.978557	2.6324578510102583	245.362688
loop-zilu/benchmark43_conjunctive.yml	true	true	6.999065	2.5450829830078874	216.313856
loop-zilu/benchmark43_conjunctive_abstracted.yml	true	true	7.050923	2.58904526400147	206.307328
loop-zilu/benchmark51_polynomial.yml	true	true	6.686548	2.469595050002681	206.983168
